Unnamed: 0,temp,location,clouds,pressure,rain,time_stamp,humidity,wind,temp_category,weather_condition,wind_category
0,42.42,Back Bay,1.0,1012.14,0.1228,2018-12-16 23:45:01,0.77,11.25,Hot,Rainy,Windy
1,42.43,Beacon Hill,1.0,1012.15,0.1846,2018-12-16 23:45:01,0.76,11.32,Hot,Rainy,Windy
2,42.5,Boston University,1.0,1012.15,0.1089,2018-12-16 23:45:01,0.76,11.07,Hot,Rainy,Windy
3,42.11,Fenway,1.0,1012.13,0.0969,2018-12-16 23:45:01,0.77,11.09,Hot,Rainy,Windy
4,43.13,Financial District,1.0,1012.14,0.1786,2018-12-16 23:45:01,0.75,11.49,Hot,Rainy,Windy
5,42.34,Haymarket Square,1.0,1012.15,0.2068,2018-12-16 23:45:01,0.77,11.49,Hot,Rainy,Windy
6,42.36,North End,1.0,1012.15,0.2088,2018-12-16 23:45:01,0.77,11.46,Hot,Rainy,Windy
7,42.21,North Station,1.0,1012.16,0.2069,2018-12-16 23:45:01,0.77,11.37,Hot,Rainy,Windy
8,42.07,Northeastern University,1.0,1012.12,0.102,2018-12-16 23:45:01,0.78,11.28,Hot,Rainy,Windy
9,43.05,South Station,1.0,1012.12,0.1547,2018-12-16 23:45:01,0.75,11.58,Hot,Rainy,Windy
10,42.09,Theatre District,1.0,1012.13,0.1428,2018-12-16 23:45:01,0.78,11.41,Hot,Rainy,Windy
11,43.28,Back Bay,0.81,990.81,,2018-11-27 19:45:20,0.71,8.3,Hot,Clear,Calm
12,43.27,Beacon Hill,0.8,990.8,,2018-11-27 19:45:20,0.71,8.3,Hot,Clear,Calm
13,43.35,Boston University,0.82,990.82,,2018-11-27 19:45:20,0.71,8.24,Hot,Clear,Calm
14,43.07,Fenway,0.82,990.82,,2018-11-27 19:45:20,0.72,8.28,Hot,Clear,Calm
15,43.35,Financial District,0.8,990.8,,2018-11-27 19:45:20,0.71,8.35,Hot,Clear,Calm
16,43.2,Haymarket Square,0.8,990.79,,2018-11-27 19:45:20,0.71,8.31,Hot,Clear,Calm
17,43.24,North End,0.8,990.79,,2018-11-27 19:45:20,0.71,8.32,Hot,Clear,Calm
18,41.95,North Station,0.81,991.63,,2018-11-27 19:45:20,0.73,10.87,Hot,Clear,Windy
19,43.05,Northeastern University,0.81,990.82,,2018-11-27 19:45:20,0.72,8.31,Hot,Clear,Calm
20,43.31,South Station,0.8,990.8,0.0023,2018-11-27 19:45:20,0.71,8.36,Hot,Rainy,Calm
21,43.05,Theatre District,0.8,990.8,,2018-11-27 19:45:20,0.72,8.34,Hot,Clear,Calm
22,41.89,West End,0.81,991.64,,2018-11-27 19:45:20,0.74,10.88,Hot,Clear,Windy
23,43.92,North Station,1.0,1006.29,0.0409,2018-11-27 00:17:13,0.9,10.09,Hot,Rainy,Windy
24,43.87,Northeastern University,1.0,1006.24,0.0284,2018-11-27 00:17:13,0.91,9.74,Hot,Rainy,Calm
25,39.23,Back Bay,0.83,996.09,,2018-11-29 00:02:07,0.66,10.67,Hot,Clear,Windy
26,39.18,Beacon Hill,0.83,996.08,,2018-11-29 00:02:07,0.67,10.69,Hot,Clear,Windy
27,39.23,Boston University,0.83,996.11,,2018-11-29 00:02:07,0.66,10.53,Hot,Clear,Windy
28,39.1,Fenway,0.83,996.11,,2018-11-29 00:02:07,0.67,10.59,Hot,Clear,Windy
29,39.56,Financial District,0.83,996.07,,2018-11-29 00:02:07,0.66,10.79,Hot,Clear,Windy
30,39.18,Haymarket Square,0.83,996.07,,2018-11-29 00:02:07,0.66,10.73,Hot,Clear,Windy
31,39.21,North End,0.82,996.07,,2018-11-29 00:02:07,0.66,10.75,Hot,Clear,Windy
32,39.1,Northeastern University,0.83,996.1,,2018-11-29 00:02:07,0.67,10.66,Hot,Clear,Windy
33,39.54,South Station,0.83,996.08,,2018-11-29 00:02:07,0.66,10.8,Hot,Clear,Windy
34,39.1,Theatre District,0.83,996.08,,2018-11-29 00:02:07,0.67,10.75,Hot,Clear,Windy
35,39.1,West End,0.83,996.07,,2018-11-29 00:02:07,0.67,10.69,Hot,Clear,Windy
36,27.27,Back Bay,0.15,1033.4,,2018-12-14 11:45:01,0.8,2.96,Hot,Clear,Calm
37,27.27,Beacon Hill,0.15,1033.4,,2018-12-14 11:45:01,0.81,2.99,Hot,Clear,Calm
38,27.07,Boston University,0.15,1033.4,,2018-12-14 11:45:01,0.8,2.84,Hot,Clear,Calm
39,26.88,Fenway,0.15,1033.4,,2018-12-14 11:45:01,0.81,2.88,Hot,Clear,Calm
40,27.26,Financial District,0.15,1033.4,,2018-12-14 11:45:01,0.81,3.07,Hot,Clear,Calm
41,27.34,Haymarket Square,0.15,1033.4,,2018-12-14 11:45:01,0.81,3.04,Hot,Clear,Calm
42,27.43,North End,0.15,1033.4,,2018-12-14 11:45:01,0.81,3.05,Hot,Clear,Calm
43,27.22,North Station,0.15,1033.4,,2018-12-14 11:45:01,0.81,3.01,Hot,Clear,Calm
44,26.93,Northeastern University,0.16,1033.4,,2018-12-14 11:45:01,0.81,2.94,Hot,Clear,Calm
45,27.17,South Station,0.15,1033.4,,2018-12-14 11:45:01,0.81,3.07,Hot,Clear,Calm
46,27.03,Theatre District,0.15,1033.4,,2018-12-14 11:45:01,0.82,3.03,Hot,Clear,Calm
47,45.49,Back Bay,1.0,1012.46,,2018-11-26 17:35:10,0.86,6.47,Hot,Clear,Calm
48,45.42,Beacon Hill,1.0,1012.47,,2018-11-26 17:35:10,0.86,6.48,Hot,Clear,Calm
49,45.55,Boston University,1.0,1012.46,,2018-11-26 17:35:10,0.85,6.43,Hot,Clear,Calm
50,45.64,Fenway,1.0,1012.46,,2018-11-26 17:35:10,0.85,6.44,Hot,Clear,Calm
51,45.54,Financial District,1.0,1012.47,,2018-11-26 17:35:10,0.85,6.5,Hot,Clear,Calm
52,45.42,Haymarket Square,1.0,1012.47,,2018-11-26 17:35:10,0.86,6.5,Hot,Clear,Calm
53,45.43,North End,1.0,1012.47,,2018-11-26 17:35:10,0.86,6.51,Hot,Clear,Calm
54,45.47,North Station,1.0,1012.47,,2018-11-26 17:35:10,0.86,6.5,Hot,Clear,Calm
55,45.69,Northeastern University,1.0,1012.46,,2018-11-26 17:35:10,0.85,6.46,Hot,Clear,Calm
56,45.61,South Station,1.0,1012.47,,2018-11-26 17:35:10,0.85,6.5,Hot,Clear,Calm
57,45.55,Theatre District,1.0,1012.47,,2018-11-26 17:35:10,0.85,6.49,Hot,Clear,Calm
58,45.46,West End,1.0,1012.47,,2018-11-26 17:35:10,0.86,6.49,Hot,Clear,Calm
59,45.52,South Station,0.89,1000.08,,2018-12-03 09:52:59,0.95,1.39,Hot,Clear,Calm
60,45.98,Back Bay,0.99,1021.67,,2018-12-15 10:45:01,0.9,5.58,Hot,Clear,Calm
61,45.98,Beacon Hill,0.99,1021.65,,2018-12-15 10:45:01,0.9,5.64,Hot,Clear,Calm
62,46.11,Boston University,0.99,1021.67,,2018-12-15 10:45:01,0.89,5.51,Hot,Clear,Calm
63,46.83,Financial District,0.99,1021.65,,2018-12-15 10:45:01,0.87,5.68,Hot,Clear,Calm
64,45.94,Haymarket Square,0.99,1021.65,,2018-12-15 10:45:01,0.9,5.69,Hot,Clear,Calm
65,45.97,North End,0.99,1021.64,,2018-12-15 10:45:01,0.9,5.7,Hot,Clear,Calm
66,45.86,North Station,0.99,1021.64,,2018-12-15 10:45:01,0.9,5.68,Hot,Clear,Calm
67,45.65,Northeastern University,0.99,1021.68,,2018-12-15 10:45:01,0.91,5.53,Hot,Clear,Calm
68,45.68,Theatre District,0.99,1021.66,,2018-12-15 10:45:01,0.91,5.64,Hot,Clear,Calm
69,45.78,West End,0.99,1021.65,,2018-12-15 10:45:01,0.91,5.66,Hot,Clear,Calm
70,44.34,Back Bay,0.19,1029.99,,2018-12-14 18:45:01,0.61,3.39,Hot,Clear,Calm
71,44.18,Beacon Hill,0.19,1029.99,,2018-12-14 18:45:01,0.61,3.39,Hot,Clear,Calm
72,44.25,Boston University,0.2,1029.98,,2018-12-14 18:45:01,0.61,3.38,Hot,Clear,Calm
73,44.53,Fenway,0.2,1029.98,,2018-12-14 18:45:01,0.61,3.38,Hot,Clear,Calm
74,44.55,Financial District,0.18,1030.0,,2018-12-14 18:45:01,0.6,3.4,Hot,Clear,Calm
75,44.37,Haymarket Square,0.19,1030.0,,2018-12-14 18:45:01,0.61,3.4,Hot,Clear,Calm
76,44.37,North End,0.18,1030.0,,2018-12-14 18:45:01,0.61,3.4,Hot,Clear,Calm
77,44.44,North Station,0.19,1029.99,,2018-12-14 18:45:01,0.61,3.39,Hot,Clear,Calm
78,44.47,Theatre District,0.19,1029.99,,2018-12-14 18:45:01,0.61,3.39,Hot,Clear,Calm
79,44.41,West End,0.19,1029.99,,2018-12-14 18:45:01,0.61,3.39,Hot,Clear,Calm
